source,repo_id,doi,published,journal,in_window,title
dataverse,914AN0,https://doi.org/10.7910/DVN/914AN0,2024-10-15,IOJ,False,
zenodo,10012820,https://doi.org/10.5281/zenodo.10012820,2023-10-17,,False,Drilling Deadlines and Oil and Gas Development
