script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/speed_1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IEBC7R/Figures.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IEBC7R/Tables.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IP6B94/analyzeAllZips.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IP6B94/analyzeAllZipsOLS.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IP6B94/analyzeBalance.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IP6B94/analyzeCommon.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IP6B94/plotGasVsElectricity.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/02_iv_regression_tbls.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/02_symptom_salience_regs.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/03_demographic_risk_tbl.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/04_physician_experience.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/04_regress_longterm_adverse.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/06_salience_regression_tbl.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/06_sameday_tn_plots.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/07_adverse_event_tbl.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/08_report_outcome_stats.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/09_check_excl_restriction.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IUMIO6/util.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JM3TPY/honestdd.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Deviation_Country_Wide_Analyses_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Deviation_Mean_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Response_Country_Wide_Analyses_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Response_Deviation_Median_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Response_Deviation_Nighttime_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Appendix_Temperature_Response_Mean_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Primary_Analysis_Temp_Response_Comparisons_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JRYGFP/Primary_Analysis_Temperature_Deviations_Replication_File.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_gbm.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_gbm_just_time_FEs.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_gbm_no-HH-or-weather.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_gbm_noHHvars.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_gbm_noweather.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_lasso.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_ols.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/estimate_TEs_randomforest.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXNIBA/xgboost_pred_bootstrap.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/LW9GTR/FDI_directeffects.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/LW9GTR/FDI_indirecteffects.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/NO3EAU/RaessRenWagnerFPA.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P866NB/M_overall.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P866NB/M_overall_counter.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P920SP/constants.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P920SP/movers_helpers.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P920SP/movers_plots_language.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/P920SP/movers_plots_levels.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QCWHJD/appendix_figure_5.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QCWHJD/appendix_figure_6_and_7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QCWHJD/main_figure_4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QCWHJD/main_table_5_and_6.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/FigureA7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/FigureA9.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/Table1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/Table2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA10.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA11.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA12.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA4.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA5.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA6.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QLG842/TableA8.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Alternative Control.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Attainment Status Additional 1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Attainment Status Additional 2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Attainment Status.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Diff_in_Diff.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Event Study.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Fixed Effect Choices.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Robustness Tests.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/QXRU5Z/Test Seperate Mechanism.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R6XKG1/R_Step1_SolarGenerationAndAOD.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R6XKG1/R_Step2_AODandPM2.5.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R6XKG1/R_StepAppendix_AODandPM2.5.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R6XKG1/R_StepAppendix_SolarGenerationAndAOD.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RY2CVR/10_trade_costs_estimation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RY2CVR/12_demand_estimation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RY2CVR/2_supply_within_estimation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RY2CVR/4_supply_across_estimation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/SDNMSR/15_ph_regressions.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/TBKLWV/interflex.R,False,True
