source,repo_id,doi,published,journal,in_window,title
dataverse,HWVUER,https://doi.org/10.7910/DVN/HWVUER,2022-07-28,IOJ,False,Do Politically Irrelevant Events Cause Conflict? The Cross-continental Effects of European Professional Football on Protests in Africa
zenodo,10012820,https://doi.org/10.5281/zenodo.10012820,2023-10-17,,False,Drilling Deadlines and Oil and Gas Development
zenodo,10145562,https://doi.org/10.5281/zenodo.10145562,2023-11-16,,False,"Replication Package for ""A Demand Curve For Disaster Recovery Loans"
