package,version,released,index,text
survival,3.6-5,,1,"Update nearly all uses of partially matched arguments, e.g., fit$coef to fit$coefficients. (MichaelChirico)"
survival,3.6-5,,2,"Fix error in concordance for a coxph model with (time1, time2) data and timewt='S'. Add new test to tests/concordance3.R. Error pointed out by Shaunson26."
survival,3.6-5,,3,"Begin movement of many vignettes to the survivalVignettes package. See the ""other vignettes"" vignette stub for more information."
survival,3.6-5,,4,Fix error in predict.coxph pointed out by Julianna Harwood. Add text to the help file to clarify prediction at per-subject vs a global time. Add new test file predsurv.R
survival,3.6-5,,5,Add a data.frame option to summary.survfit and summary.survfitms; it causes the result to be in data frame form.
survival,3.6-4,2024-04-24,1,"Oversight in final CRAN submission, change version number and resubmit"
survival,3.6-3,,1,Fix small bug in residuals.survfit wrt labeling rows of the output. Update helpfile to describe the dimnames.
survival,3.6-3,,2,Submit to CRAN
survival,3.6-2,,1,Change survfitaj.c to avert a spurious compiler warning which made the CRAN input unhappy
survival,3.6-1,,1,"Major update to survfit routines. Infinitesimal jackknife (IJ) residuals are now primarily computed using the residuals() function post fit, de-emphasizing return of an influence component from the fit, with significant work to make the residuals function computationally efficient. New tests for many edge cases."
survival,3.6-1,,2,"Addition of a ""methods"" vignette to more fully document formulas and code, begining a move away from noweb documentation."
survival,3.6-1,,3,"Add test case for the 'extended KM', one where subjects change arms in mid-stream. (I'm not a fan, but some advocate it.) This uncovered some inconsistencies in the n.risk and n.censor values; the survival estimates themselves were correct. For a subject with data of (1, 5+), (5, 7), say, there is no ""censor"" at time 5; the prior code sometimes emited an unneeded output line for such rows."
survival,3.6-1,,4,"Add n.id to the survfit object= number of unique id values used in creating a curve; available when the survfit call contains an id argument. This is used as ""n"" in the default printout. Useful when a subject spans multiple rows."
survival,3.6-1,,5,Add a new option to survfit. If entry=TRUE the output will contain n.enter = the number of entries at this time; new rows are added for each unique entry time. The default option of FALSE creates rows only at event/censor times; the historical behavior.
survival,3.6-1,,6,Fix a bug in survfit.coxph. If the start.time option resulted in 0 subjects for a curve it didn't catch it properly.
survival,3.6-1,,7,"Update the US and Minnesota rate tables, adding years up to 2020."
survival,3.6-1,,8,"Updates to the Aalen-Johansen, i.e., survfit when 'status' is a factor variable. 1. If case weights varied between rows in the same cluster, the infinitesimal jackknife could be wrong and hence the variance incorrect. 2. n.censor is now reported per state 3. new elements of n.transtions and count."
survival,3.5-7,2023-08-14,1,"Improve the algorithm for score residuals from O(ndp) to O((n+d)p), where n= number of observations, d= number of events, p = number of covariates. For large data sets this can have a substantial impact. (Score residuals are used for robust variance.)"
survival,3.5-7,2023-08-14,2,Add short vignette on how we compute mulitstate Cox model curves.
survival,3.5-7,2023-08-14,3,"13Aug23, check dependent CRAN packages (860) and submit to CRAN"
survival,3.5-6,,1,"Fix error in a (time1, time2) coxph model with both strata and tt() terms; pointed out by Pierre Joly. Add a new test case for this to the tests directory."
survival,3.5-6,,2,"Small update to coxph prompted by a user query: for a model with an offset, the mean offset is no longer subtracted from the linear.predictor component. This make it agree with predict.coxph."
survival,3.5-6,,3,"Add the brier function, along with tests and a new vignette. Update rttright and strengthen the tests."
survival,3.5-6,,4,"Update coxph.detail; the roder argument now applies to the x, y, and riskmat components."
survival,3.5-5,2023-03-12,1,"Add the hoel data set, cancer in irradiated male mice, found in Kalbfleisch and Prentice. It is useful for illustrating competing risks."
survival,3.5-5,2023-03-12,2,"Update some S3 methods in NAMESPACE, and rename the internal terms.inner function to innerterms. Both were generating warnings with the latest CRAN check suite."
survival,3.5-5,2023-03-12,3,Submit to CRAN
survival,3.5-4,,1,Update the help file for the finegray command. It was incorrect with respect to time-dependent covariates.
survival,3.5-4,,2,"Add model= as an option to survfit, and add a model.frame.survfit method. These are needed to call the survfit/pseudo pair inside another function."
survival,3.5-4,,3,"Small bug in survfit: if start.time was present, the 'type' element could be missing from the output object."
survival,3.5-4,,4,Enhance the concordance command: one can now put multiple predictions on the right hand side of the equation; this will give the set of concordances and their variance-covariance matrix.
survival,3.5-4,,5,Add a couple of overlooked S3 methods to the NAMESPACE
survival,3.5-3,2023-02-12,1,Fix final compiler warnings that affect CRAN
survival,3.5-3,2023-02-12,2,Restore backwards compatability for ratetable() calls in a formula. The feature is used by the relsurv package.
survival,3.5-3,2023-02-12,3,Add information on trust regions to the fail directory.
survival,3.5-2,,1,New release for CRAN; chase down some challenging (for me) C-code memory issues
survival,3.5-2,,2,Clean up test case for drop.special
survival,3.5-1,,1,Minor edits to survreg (fit$coef to fit$coefficients) and summary.coxph (a model with only an offset)
survival,3.5-1,,2,"Fix error in fastkm.c (new routine, edge case, no one had found it yet.)"
survival,3.5-1,,3,"Fix a few niggles in .c code, found by the new compiler chain"
survival,3.5-1,,4,Remove backwards compatability for ratetable() calls in a formula; this was changed in the main code many years ago.
survival,3.5-0,2023-01-09,1,Final check and updates for CRAN submission
survival,3.4-2,,1,"For a multi-state coxph model, the default is now ties='breslow'. When there is a tied transition of the same type, A:B and A:B say, the Efron approx is justified and was correctly computed. However, ties of different types such as an A:B and A:C (competing risks) transition at the same time or A:B and C:D are effectively ignored by the code; and this would be very hard to change. Using Breslow rather than a partial Efron was felt to be more defensible."
survival,3.4-2,,2,Add the survcondense function.
survival,3.4-2,,3,Improve tmerge handling of a wide data set and add a test case for it. Add a caution to the vignette wrt using wide data sets.
survival,3.4-2,,4,Improve the speed of concordance (request of Frank H). Update the vignette and add more tests.
survival,3.4-2,,5,"Fix bug in cox.zph: if there was any NA coefficient in the coxph fit, the residuals used for the plot would also be NA."
survival,3.4-2,,6,Run all tests and submit to CRAN (2023-01-06)
survival,3.4-1,,1,"Add newdata argument to basehaz, along with more documentation"
survival,3.4-1,,2,"survfit.coxph would fail for the combination of newdata and a model with only an offset term, fixed"
